	statussummary	status	asm	jira	sample	accession	species	coi	organelle	uli	common name	sex	genomic sex	ploidy	taxon	genus	family	order	phylum	BioSample	BioProject	darwin	vgp_orders	vgp_plus	asg	erga	25g	britain&ireland	dnazoo	cichlids	BADASS	rodents	jiggins	murchison	R&D	protist-microalgae	UKbutterflies	sts size (Mb)	est. size (Mb)	htzgy (%)	rep frac (%)	long read cov (gscope)	long read cov (sts)	10XG cov (gscope)	10XG cov (sts)	last_data	sts pacbio status (new)	sts hic status (new)	hic_from	PacBio	ONT	10XG	Htag	BioNano	HiC	RNAseq	IsoSeq	note or paper	raw data sub	submission todo	contig N50 (Mb)	contig count	scaffold N50 (Mb)	scaffold count	longest (Mb)	length (Mb)	BUSCO	QV	completeness	pipeline status	notes	runs
	1 submitted	12_public	sm15	GRIT-120	aGeoSer1	GCA_902459505.2	Geotrypetes seraphini				Gaboon caecilian				260995	Geotrypetes	Dermophiidae	Apoda	Chordata	SAMEA104387963	PRJEB33993		1																3,600	0.8	48	56		28		2019-04-26	UNKNOWN	UNKNOWN	aGeoSer1	●		●		●	●	●		1	2	rna submitted under default biosample	20.66	596	272.61	163	550.52	3,779	C:82.5%[S:80.9%,D:1.6%],F:8.8%,M:8.7%,n:2586			Submitted		
	1 submitted	12_public	sm15	GRIT-91	aMicUni1	GCA_901765095.2	Microcaecilia unicolor				tiny Cayenne caecilian				1415580	Microcaecilia	Siphonopidae	Apoda	Chordata	SAMEA104387962	PRJEB32739		1																4,300	0.6	42	44		36		2018-11-09	UNKNOWN	UNKNOWN	aMicUni1	●		●		●	●			1	2	hic submitted under default biosample	3.65	3,530	376.15	1,080	772.93	4,686	C:81.7%[S:79.5%,D:2.2%],F:9.5%,M:8.8%,n:2586			Submitted		
	1 submitted	11_published	sm15	GRIT-56	aRhiBiv1	GCA_901001135.2	Rhinatrema bivittatum				two-lined caecilian				194408	Rhinatrema	Rhinatrematidae	Apoda	Chordata	SAMEA104387956	PRJEB32113		1																4,408	0.5	37	34		30		2018-04-30	UNKNOWN	UNKNOWN	aRhiBiv1	●		●		●	●	●		3	3	done	3.22	4,909	486.88	1,337	839.68	5,321	C:81.9%[S:80.2%,D:1.7%],F:8.2%,M:9.9%,n:2586			Submitted		
	1 submitted	12_public	sm15	GRIT-143	fAciRut3.mat	GCA_902713425.1	Acipenser ruthenus				sterlet				7906	Acipenser	Acipenseridae	Acipenseriformes	Chordata	SAMEA5572864	PRJEB35914		1																1,500	0.5	52	50		64		2020-02-24	UNKNOWN	UNKNOWN		●		●		●	●				2	some rna submitted under default biosample	10.83	631	51.89	255	116.62	1,640	C:92.1%[S:54.3%,D:37.8%],F:2.4%,M:5.5%,n:4584			Submitted		
	1 submitted	12_public	sm15	GRIT-141	fAciRut3.pat	GCA_902713435.1	Acipenser ruthenus				sterlet				7906	Acipenser	Acipenseridae	Acipenseriformes	Chordata	SAMEA5572864	PRJEB35914		0																1,500	0.5	52	49		64		2020-02-24	UNKNOWN	UNKNOWN		●		●		●	●				2	some rna submitted under default biosample	11.50	625	54.60	239	128.06	1,664	C:91.7%[S:53.7%,D:38.0%],F:2.7%,M:5.6%,n:4584			Submitted		
	1 submitted	11_published	sm15	GRIT-65	fAnaTes1	GCA_900324465.3	Anabas testudineus				climbing perch	M			64144	Anabas	Anabantidae	Anabantiformes	Chordata	SAMEA104026376	PRJEB30393		1																600	0.6	17	48		84		2017-03-16	UNKNOWN	UNKNOWN	fAnaTes1	●		●		●	●			3	3	done	7.06	361	26.09	69	50.48	570	C:97.3%[S:95.1%,D:2.2%],F:1.1%,M:1.6%,n:4584			Annotated (e94)		
	1 submitted	11_published	sm15	GRIT-111	fAstCal1	GCA_900246225.5	Astatotilapia calliptera				eastern happy				8154	Astatotilapia	Cichlidae	Cichliformes	Chordata	SAMEA104026430	PRJNA557691		1							1									900	0.2	25	48		112		2017-08-15	UNKNOWN	UNKNOWN		●	●	●		●				3	1	transcriptomic?; ont	4.44	625	38.67	135	68.40	880	C:95.9%[S:93.2%,D:2.7%],F:1.6%,M:2.5%,n:4584			Annotated (e94)		
	1 submitted	11_published	sm15	GRIT-75	fBetSpl5	GCA_900634795.3	Betta splendens				Siamese fighting fish	M			158456	Betta	Osphronemidae	Anabantiformes	Chordata	SAMEA104381735	PRJEB30367			1															500	0.5	16	49				2018-10-08	UNKNOWN	UNKNOWN		●		●		●				3	2	illumina submitted under default biosample	2.50	397	20.13	69	34.86	441	C:96.4%[S:93.7%,D:2.7%],F:2.1%,M:1.5%,n:4584			Annotated (e98)		
	1 submitted	12_public	sm15	GRIT-128	fChaCha1	GCA_902362185.1	Chanos chanos				milkfish				29144	Chanos	Chanidae	Gonorynchiformes	Chordata	SAMEA5159473	PRJEB33883		1																698	0.6	26	63		78		2019-09-14	UNKNOWN	UNKNOWN	fChaCha1	●		●		●	●				1	load pacbio and import ccs	23.13	140	50.30	30	63.12	657	C:95.9%[S:90.6%,D:5.3%],F:1.8%,M:2.3%,n:4584			Submitted		
	1 submitted	11_published	sm15	GRIT-76	fCotGob3	GCA_900634415.1	Cottoperca gobio				channel bull blenny				56716	Cottoperca	Bovichtidae	Perciformes	Chordata	SAMEA104242975	PRJEB30272		1																800	0.4	36	57				2017-08-15	UNKNOWN	UNKNOWN	fCotGob2	●		●		●	●			3	2	some rna submitted under default biosample	5.94	767	25.16	322	30.48	609	C:92.9%[S:90.2%,D:2.7%],F:2.2%,M:4.9%,n:4584			Annotated (e98)		
	1 submitted	12_public	sm15	GRIT-123	fDanAes4	GCA_903798145.1	Danio aesculapii				panther danio	F			1142201	Danio	Cyprinidae	Cypriniformes	Chordata	SAMEA104240212	PRJEB38584			1															1,400	1.5	40	41		39		2018-11-08	UNKNOWN	UNKNOWN	fDanAes4	●		●		●	●				2	hic submitted under default biosample	1.52	2,163	56.00	342	74.60	1,381	C:93.9%[S:90.2%,D:3.7%],F:2.4%,M:3.7%,n:4584			Submitted		
	1 submitted	12_public	sm15		fDanDra1	GCA_900490495.1	Danionella dracula				dracula fish				623740	Danionella	Cyprinidae	Cypriniformes	Chordata	SAMEA104026433	PRJEB39284			1															700	0.5	26	41				2017-06-03	UNKNOWN	UNKNOWN		●		●							3	done	2.30	1,614	10.29	996	39.98	665	C:89.8%[S:85.8%,D:4.0%],F:3.2%,M:7.0%,n:4584			Submitted		
	1 submitted	12_public	sm15	GRIT-122	fDanKya3	GCA_903798195.1	Danio kyathit				orange-finned danio	F			242068	Danio	Cyprinidae	Cypriniformes	Chordata	SAMEA104130240	PRJEB38581			1															1,600	2.0	45	33		36		2018-11-08	UNKNOWN	UNKNOWN	fDanKya3	●		●		●	●				2	hic submitted under default biosample	1.26	3,261	64.23	739	89.47	1,708	C:93.3%[S:89.3%,D:4.0%],F:2.5%,M:4.2%,n:4584			Submitted		
	1 submitted	12_public	sm15	GRIT-49	fDenClu1	GCA_900700375.2	Denticeps clupeoides				denticle herring				299321	Denticeps	Denticipitidae	Clupeiformes	Chordata	SAMEA104129917	PRJEB31550		1																600	0.5	20	47		89		2017-10-23	UNKNOWN	UNKNOWN	fDenClu1	●		●		●	●	●			3	done	3.06	924	22.79	460	42.17	567	C:94.5%[S:87.2%,D:7.3%],F:2.8%,M:2.7%,n:4584			Annotated (e98)		
	1 submitted	12_public	sm15	GRIT-47	fDreABH1	GCA_903684865.1	Danio rerio				zebrafish	M			7955	Danio	Cyprinidae	Cypriniformes	Chordata	SAMEA4760846	PRJEB38590		1																1,500	1.1	37	32				2019-04-04	UNKNOWN	UNKNOWN		●		●		●	●				1	external data; submit?	4.53	1,964	52.96	1,252	74.43	1,354	C:92.8%[S:89.2%,D:3.6%],F:2.0%,M:5.2%,n:4584			Submitted	AB/paternal	
	1 submitted	12_public	sm15	GRIT-46	fDreTuH1	GCA_903684855.2	Danio rerio				zebrafish	F			7955	Danio	Cyprinidae	Cypriniformes	Chordata	SAMEA4760849	PRJEB38590		1																1,500	1.1	37	33				2019-04-04	UNKNOWN	UNKNOWN		●		●		●	●				1	external data; submit?	3.59	2,106	54.39	754	73.59	1,360	C:93.4%[S:90.0%,D:3.4%],F:2.2%,M:4.4%,n:4584			Submitted	Tübingen/maternal	
